"","datesong","mean_views","mean_score","min_views","max_views","mean_likes","min_likes","max_likes","vid_name","ytub_url","art_name","d_posted","cartist","colab"
"1","98_https://www.youtube.com/watch?v=OjclGogOWB8",1288.70072992701,0,1274,1299,17,17,17,"Siku Poa","https://www.youtube.com/watch?v=OjclGogOWB8","Masha  Ala-C",1396040400,"masha","no"
"2","100_https://www.youtube.com/watch?v=TG6GNFDh4iU",74025.6350364963,3,73589,74451,0,0,0,"Change","https://www.youtube.com/watch?v=TG6GNFDh4iU","Sanaipei  Ala-C 
Alpha Msanii
Avril 
Jimw@t 
Jua Cali 
King Kaka
Marya",1361566800,"sanaipei","yes"
"3","100_https://www.youtube.com/watch?v=TG6GNFDh4iU",74025.6350364963,3,73589,74451,0,0,0,"Change","https://www.youtube.com/watch?v=TG6GNFDh4iU","Sanaipei  Ala-C 
Alpha Msanii
Avril 
Jimw@t 
Jua Cali 
King Kaka
Marya",1361566800,"cali","yes"
"1033","1074_https://www.youtube.com/watch?v=mWxzRBf46js",508.654411764706,0,460,561,4.47794117647059,4,5,"Hakuna Silaha","https://www.youtube.com/watch?v=mWxzRBf46js","Loise Maingi Dan Em",1419800400,"danem","yes"
"1034","1075_https://www.youtube.com/watch?v=soROW45FZe8",8719.83823529412,2,8132,9315,28.9117647058824,27,30,"Inuka","https://www.youtube.com/watch?v=soROW45FZe8","Dan Em",1418677200,"danem","no"
"1035","1076_https://www.youtube.com/watch?v=wRfTOhtqlGU",17645.8014705882,4.03676470588235,16480,18828,64.1323529411765,61,69,"Ni Asante","https://www.youtube.com/watch?v=wRfTOhtqlGU","Dan Em",1418677200,"danem","no"
"1036","1077_https://www.youtube.com/watch?v=WnYtO_Vz7uE",40797.1470588235,2.74264705882353,36661,45180,105.441176470588,96,117,"Tunakuabudu","https://www.youtube.com/watch?v=WnYtO_Vz7uE","Dan Em",1377550800,"danem","no"
"1037","1078_https://www.youtube.com/watch?v=2Xnd32z6Ybg",63052.6985294118,4,55959,70275,178.852941176471,157,201,"Sio Wewe","https://www.youtube.com/watch?v=2Xnd32z6Ybg","Dan Em",1377550800,"danem","no"
"1038","1079_https://www.youtube.com/watch?v=t2OVSVEPOvs",16716.5,1,15789,17683,57.6323529411765,56,59,"Hakuna Wa Kufanana","https://www.youtube.com/watch?v=t2OVSVEPOvs","Dan Em",1377550800,"danem","no"
"1039","1080_https://www.youtube.com/watch?v=6zfFkPAMdMU",577.308823529412,0,571,583,22,22,22,"Flexxing","https://www.youtube.com/watch?v=6zfFkPAMdMU","Dan Gee Psalms",1421182800,"psalms","yes"
"1040","1080_https://www.youtube.com/watch?v=6zfFkPAMdMU",577.308823529412,0,571,583,22,22,22,"Flexxing","https://www.youtube.com/watch?v=6zfFkPAMdMU","Dan Gee Psalms",1421182800,"dangee","yes"
"1041","1081_https://www.youtube.com/watch?v=UlWdzSBUjT4",656.933823529412,0,651,662,24,24,24,"ABC","https://www.youtube.com/watch?v=UlWdzSBUjT4","Dan Gee",1401829200,"dangee","no"
"1042","1082_https://www.youtube.com/watch?v=b_C12mrXJ-I",21.2279411764706,0,19,23,1,1,1,"Focus","https://www.youtube.com/watch?v=b_C12mrXJ-I","Dan Gee Emma 
Holy Dave",1392930000,"emma","yes"
